system:index,Class,class,export_date,project,source,.geo
29,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.91731642003623,21.907807561749852]}"
30,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.92555616612998,21.88423440389968]}"
31,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.95851515050498,21.894428680239685]}"
32,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.9928474258956,21.845362043478662]}"
33,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.98460767980185,21.807116617877973]}"
34,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.98460767980185,21.77523762435813]}"
35,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.00589369054404,21.798828761803005]}"
36,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.00177381749717,21.729957278530797]}"
37,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.00726698155967,21.692957111707305]}"
38,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.97156141515342,21.6763677429798]}"
39,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.96332166905967,21.63871555636363]}"
40,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.0148200821456,21.62531156061312]}"
41,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.95164869542685,21.728043710171583]}"
42,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.04571912999717,21.69614715592535]}"
43,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.06906507726279,21.652756503476276]}"
44,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.02511976476279,21.741438153731227]}"
45,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.87624865663798,21.978542757058687]}"
46,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.83367663515361,21.99382376432487]}"
47,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.87899523866923,21.953070756481385]}"
48,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.98336535585673,21.937785364538616]}"
49,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.96139269960673,21.9721751851384]}"
50,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.94765978945048,22.0358380447861]}"
51,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.00945788515361,22.021834668831175]}"
52,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.04241686952861,21.991277044056094]}"
53,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.01632434023173,22.09183769029979]}"
54,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.99984484804423,22.166893263114986]}"
55,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.93118029726298,22.147815129008627]}"
56,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.95452624452861,22.11474023821124]}"
57,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.14953356874736,22.108378792312934]}"
58,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.11245471132548,22.084202681638477]}"
59,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.07262927187236,22.082930140056256]}"
60,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.11108142030986,22.005283439687787]}"
61,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.12618762148173,21.965807327691525]}"
62,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.11245471132548,21.894467836918963]}"
63,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.14678698671611,21.833291271826074]}"
64,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.17425280702861,21.890645069743247]}"
65,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.10284167421611,21.76316094077811]}"
66,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.06713610780986,21.809068312029865]}"
67,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.04928332460673,21.90083888776053]}"
68,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.2552769769505,21.73637485571146]}"
69,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.23330432070048,21.77974029839415]}"
70,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.26214343202861,21.810343306863235]}"
71,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.22231799257548,21.84858786989858]}"
72,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.25253039491923,21.879176153359328]}"
73,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.17837268007548,21.963260104780062]}"
74,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.26351672304423,22.015469040236997]}"
75,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.31844836366923,21.947338927050975]}"
76,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.3387044061497,21.897653397934118]}"
77,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.30849200380595,21.88172488113597]}"
78,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.2837727655247,21.93523763949457]}"
79,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.32977801454814,21.838390319711145]}"
80,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.33939105165751,21.84221448628801]}"
81,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.24600726259501,21.677683132009573]}"
82,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.39706927431376,21.74785521819109]}"
83,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.37372332704814,21.791217192495697]}"
84,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.41217547548564,21.877901772396935]}"
85,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.45062762392314,21.796317739345987]}"
86,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.38745623720439,22.018015325995215]}"
87,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.46985369814189,21.959439184783886]}"
88,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.45337420595439,22.029473045565997]}"
89,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.43964129579814,22.10837879231293]}"
90,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.38058978212626,22.17961058162698]}"
91,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.31329852236064,22.13509493614124]}"
92,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.35175067079814,22.089292733288946]}"
93,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.61404925478253,21.87280413473259]}"
94,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.60443621767314,21.984910043386527]}"
95,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.63464862001689,22.114740238211237]}"
96,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.51791888368876,22.25843225355215]}"
97,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.44925433290751,22.299097060139896]}"
98,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.26776819536651,22.16516783512064]}"
99,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.17575769731964,22.17788530970024]}"
100,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.78005305168337,21.963194785898256]}"
101,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.84597102043337,21.940267714538003]}"
102,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.75670710441774,21.946636716358217]}"
103,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.70864191887087,21.875287617106352]}"
104,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.67018977043337,21.95937386414554]}"
105,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.60564509269899,22.066320784836606]}"
106,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.61937800285524,21.83195110239496]}"
107,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.59191218254274,21.784775853058907]}"
108,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.66744318840212,22.25582512714748]}"
109,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.64135065910524,22.202433646620282]}"
110,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.58779230949587,22.20497655901746]}"
111,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.56581965324587,22.334603913075142]}"
112,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.53835383293337,22.413338223723198]}"
113,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.48204890129274,22.400642154698136]}"
114,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.40926447746462,22.371436795726375]}"
115,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.37081232902712,22.33714442441506]}"
116,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.37630549308962,22.259638025981555]}"
117,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.79241267082399,22.197347683638853]}"
118,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.77455988762087,22.143933956344377]}"
119,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.74160090324587,22.087954976210728]}"
120,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.72924128410524,22.047229041977133]}"
121,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.85421076652712,22.160468944728112]}"
122,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.86245051262087,22.12612487384035]}"
123,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.73748103019899,22.32444140495457]}"
124,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.68392268058962,22.38540534110823]}"
125,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.52874079582399,22.151565730844126]}"
126,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.59247606142085,21.827382695197]}"
127,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.62680833681148,21.856700948460958]}"
128,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.64740770204585,21.89365886551184]}"
129,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.66800706728023,21.982828144505735]}"
130,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.51510480667724,21.571518096321448]}"
131,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.54669050003662,21.60471901675269]}"
132,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.58651593948974,21.643018305265855]}"
133,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.55355695511474,21.676202807627217]}"
134,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.534330880896,21.7706091724154]}"
135,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.59612897659912,21.737446432054526]}"
136,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.600248849646,21.76550771097201]}"
137,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.71423200394287,21.676202807627217]}"
138,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.72933820511474,21.636635795384354]}"
139,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.73620466019287,21.5919503329088]}"
140,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.76916364456787,21.608549402201554]}"
141,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.84744123245851,21.579180522786228]}"
142,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.8364549043335,21.64940053304332]}"
143,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.65081647659913,21.791013203864022]}"
144,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.43957380081787,21.66854552308439]}"
145,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[88.33520368363037,21.681307438035578]}"
146,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.76617292191162,21.91592443736674]}"
147,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.86230329300537,21.921020533293852]}"
148,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.80187848831787,22.111992165725475]}"
149,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[89.19625715042724,22.047090700050443]}"
150,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.24957743450075,21.98530840054014]}"
151,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.25369730754763,22.02223292225669]}"
152,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.24477091594606,22.01714045657693]}"
153,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.50706949993044,21.95792712022268]}"
154,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.50912943645388,21.991675383335444]}"
155,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.50294962688356,21.946782064884772]}"
156,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.52423563762575,21.884990783586357]}"
157,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.54552164836794,21.881804939686752]}"
158,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.56715098186403,21.891999389684994]}"
159,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.51668253703981,21.906015568346465]}"
160,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.50809946819216,21.92926664156221]}"
161,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.25423716863409,22.00400544986093]}"
162,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.24527183151288,21.892981994229057]}"
163,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.23771873092694,21.906361011534663]}"
164,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.22741904830976,21.924516239962887]}"
165,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.2129994926457,21.9324783291411]}"
166,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.19411674118085,21.935663040081423]}"
167,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.21608939743085,21.941713794465]}"
168,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.2466451225285,21.872273897260893]}"
169,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.24733176803632,21.862619057016392]}"
170,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.24973502731366,21.85019191613854]}"
171,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.25248160934491,21.832345926195007]}"
172,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.51580680434697,21.99809196852329]}"
173,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.51924003188603,22.02610202964202]}"
174,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.2820082102147,21.677613756441488]}"
175,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.29368118384753,21.649535333544502]}"
176,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.29780105689439,21.63038782184023]}"
177,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.27788833716784,21.662298930597757]}"
178,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.25591568091782,21.722272702010454]}"
179,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.24149612525376,21.77584513467886]}"
180,1,1,2025-04-08,Sundarbans Mangroves 2024,GEE Manual Digitization,"{""type"":""Point"",""coordinates"":[72.25110916236314,21.803261379861944]}"
